ID,CATEGORY,TOPICS,SOURCE,HEADLINE,TEXT,LINK,
1,1,Covid-19,El Economista,Covid-19: mentiras que matan,"El control de la Covid-19 no es sólo un tema de médicos y el resto del personal sanitario y científico. Por desgracia o por fortuna, es un asunto esencialmente político que se decide por hombres y mujeres que se dedican a la política. De las creencias y opiniones de estos últimos, depende el éxito o el fracaso de las acciones que se implementen.

Los éxitos en la toma de decisiones salvan vidas y naciones; obviamente, los errores matan y más si están acompañados de mentiras y medias verdades. En este sentido, durante el pasado Pulso de la Salud (9 de febrero) el presidente López rompió un récord: en los primeros diez minutos había dicho tres mentiras graves o medias verdades, que también son mentiras. El problema con esto es que las mentiras matan.

En esa ocasión, López Obrador dijo que “afortunadamente” se estaban reduciendo los contagios en todo el país. Poco después, el subsecretario López-Gatell fue por este camino y complementó con la tesis de que en las últimas dos semanas había una tendencia a la baja. Esta es una verdad a medias. Desde principios de diciembre pasado, varios expertos habían supuesto que luego del Buen Fin y de las fiestas conocidas como Guadalupe-Reyes (12 de diciembre-6 de enero) habría un pico de contagios y muertes, pero que luego regresaríamos a la siniestra y mortal meseta en la que estamos (más de ocho mil contagios y 900 muertes promedio al día).

Se especulaba que para el 20 de enero se regresaría a los números de principios de diciembre. No fue así, el efecto del Guadalupe-Reyes se sintió a lo largo de todo enero, que fue un mes desastroso y mortífero, el peor desde que comenzó la pandemia. No toda la culpa es gubernamental en esta tragedia, las necesidades económicas que hacen salir a la gente y el no acatar reglas básicas han aportado su parte. Pero, en todo caso, para qué decir medias verdades y asegurar que hay una tendencia a la baja con tan solo dos semanas de (malas) cuentas. Había que decir que no hay que confiarse y señalar lo que es: la pandemia está descontrolada. Pero es la mañanera citada el presidente fue más allá: aseguró que no ha habido protestas de los médicos y el personal sanitario, como demostración de que avalan su política (es un decir). Esta es una gran mentira, las protestas de médicos, enfermeras, camilleros, químicos y personal relacionado comenzaron en marzo del año pasado y prosiguieron durante todo 2020. Coahuila, Baja California, CDMX, Edomex y muchos otros conocieron una petición constante: suministros para protección tales como guantes, batas, lentes, caretas, etc. Desde marzo hasta ahora más de 300 protestas y quejas en las calles, en los hospitales y centros de salud, en cartas dirigidas a los medios, en plantones y en renuncias. Personal médico durmiendo donde podía o en sus autos para evitar llevar la muerte a sus casas.

Con la llegada de las vacunas en diciembre hubo una nueva demanda: aplicar las vacunas al personal de primera línea, el que tiene contacto con los enfermos. La queja era porque en varios puntos del país la vacuna se aplicó a directivos y sus familiares.  En la desorganización de la recepción y aplicación de las vacunas y su uso político se vacuna a maestros de Campeche que no dan clases, que no están en la primera línea.

La tercera mentira fue la de asegurar que nunca había sido rebasada la capacidad de camas y equipo. Cualquier revisión a la prensa de los últimos meses relata una o varias historias de personas que buscaron durante días un lugar para un familiar enfermo. Algunos lo lograron, otros no. También de personas conocidas que murieron en sus casas porque las rechazaron en los hospitales por no estar “suficientemente” enfermos.

Ese es el panorama y esas son las mentiras y medias verdades. Es cierto que no somos el único país en donde faltan suministros, camas, equipo y muere personal médico, pero somos una nación que no está evolucionando favorablemente ante la Covid-19. Desde septiembre, Amnistía Internacional y la publicación The Lancet dieron cuenta de que muere más personal médico en México que en cualquier otra parte del mundo. La demagogia, la insensibilidad y las mentiras son algo peor que la infodemia y más cuando se da con la complicidad de todo el gabinete.

La esperanza de las vacunas está disminuyendo ante el temor de que su efectividad no sea la que se busca en todas las poblaciones y que las nuevas cepas “arrasen el mundo”, como dijo una experta británica. Al ritmo que va la vacunación en nuestro país, es muy posible que el vendaval de contagios y muertes nos arrastre todavía más.",https://www.eleconomista.com.mx/opinion/Covid-19-mentiras-que-matan-20210212-0029.html,
6,0,Covid-19,AFPFactual,Cali completó 48 horas con cero homicidios,"Boooomm
MUJERES VACUNADAS DE COVID ESTÁN MOSTRANDO EFECTOS SECUNDARIOS TÍPICOS DE CANCER DE MAMA
Los médicos de Intermountain Healthcare’s Breast Care Centre de Utah, USA, anuncian nuevas pautas de mamografías para las mujeres vacunadas contra Covid-19 recientemente.
Los médicos han observado inflamación de los ganglios linfáticos en las mamografías de detección de mujeres que se vacunaron recientemente contra COVID-19. 
""Siempre que los vemos en una mamografía de detección normal, llamamos a esas pacientes porque puede significar cáncer de mama metastásico que viaja a los ganglios linfáticos o linfoma o leucemia"".
“Con la vacuna Moderna están habiendo estos síntomas aproximadamente un 11% después de la primera dosis y un 16% después de la segunda dosis. Creemos que también es comparable para la vacuna Pfizer.",https://www.facebook.com/901924190177223/posts/1301105836925721,
8,0,Covid-19,AFPFactual,Franja naranja de estado de guerra en chile,"Los bbrazalete sanitarios estan normados bajo el tratado de ginebra, este distintivo solamente se usa en tiempos de guerra y es para atender a los heridos, pues Sebastián Piñera como ve guerra y enemigos poderosos por todos lados, no tuvo ningun problema en no acatar esta norma y utilizó junto a parte de su gabinete, este distintivo que salva vidas en tiempos de guerra.

Sin límites, Piñera ocupa distintivo de guerra para potenciar su discurso del «enemigo poderoso» por Covid_19,
Cabe señalar que los Convenios de Ginebra impiden llevar ese brazalete ya que es un distintivo sanitario en tiempos de guerra.

El Presidente de la República ha cambiado su estrategia comunicacional. Tras el debilitamiento de su imagen producto del Estallido Social, el mandatario ha tomado un nuevo estilo que refuerza su «liderazgo».

No obstante, fue tan evidente el cambio de switch que no pasó desapercibido en redes sociales, las que viralizan memes con imagenes editadas del Jefe de Estado. Ahora bien, esta noche el Presidente dio un salto y lució un llamativo brazalete rojo en su brazo izquierdo. También lo llevaban consigo el alcalde de Santiago, Felipe Alessandri y el Ministro de Desarrollo Social, Sebastián Sichel.

Aparentemente, se trataba de un distintivo que aludía a la emergencia sanitaria y al programa de ayudas anunciado por el mandatario para ir en apoyo a las personas en situación de calle. Pese a esto, es de conocimiento público que un Jefe de Estado no puede utilizar dicho brazalete, lo cual está establecido en los convenios de Ginebra. ¿Por qué? Ya que representa un distintivo sanitario en tiempos de guerra. ","Perma | Presidente de Chile, hace el ridículo usando brazalete sanitario de guerra en discurso. El tratado de ginebra prohibe su uso en tiempos de paz - Prensa Independiente",
9,0,Covid-19,El Español,Francia decreta el estado de emergencia y el toque de queda con la mitad de incidencia que Madrid ,"El Gobierno de Francia declarará el estado de emergencia, el equivalente al estado de alarma español, a partir de este sábado. Los últimos datos de incidencia acumulada en París son de 250 casos de Covid-19, la mitad que la Comunidad de Madrid, que ya ha bajado de los 500 casos según el Ministerio de Sanidad. 

El presidente francés, Emmanuel Macron, anunció este miércoles un toque de queda en París y otras ocho áreas metropolitanas ante el agravamiento de la situación hospitalaria por culpa del coronavirus.

El toque de queda será de 21.00 a 6.00 hora local y comenzará a partir del próximo sábado, con una duración inicial de cuatro semanas ampliables a seis, detalló el presidente en una entrevista televisiva. El toque de queda, vigente a partir del sábado entre las nueve de la noche y las seis de la mañana, se prolongará un mínimo de cuatro semanas. Para alargarlo hasta seis semanas, como desea Macron, hará falta la autorización del Parlamento francés.

""Tenemos que tomar medidas más estrictas"" porque ""estamos en una situación preocupante"", afirmó Macron. El objetivo de la medida es frenar el crecimiento de los contagios a fin de que el actual ritmo pase de los aproximadamente 20.000 diarios al nivel de 3.000-5.000, añadió.
Confinamiento general

Macron aseguró que un reconfinamiento general de la población, como el vivido la pasada primavera, ""sería desproporcionado"", por lo que el toque de queda ""es una medida pertinente"".

""No se podrá ir al restaurante después de las 21.00, no se podrá ir a fiestas a casa de los amigos"", explicó el presidente, quien avanzó que habrá controles policiales y multas para los infractores de hasta 135 euros, igual que un sistema de autorizaciones para quienes tengan que salir por trabajo o motivos ineludibles.

Esta intervención de Macron en horario de máxima audiencia televisiva, se produjo mientras la situación se está agravando en las principales zonas metropolitanas de Francia a pesar de medidas restrictivas tomadas en las últimas semanas, como la obligatoriedad del uso local de mascarillas, el cierre de bares o un protocolo más rígido en restaurantes. Situación seria

La situación es especialmente seria en la región de París (Isla de Francia), donde el índice de casos positivos es de 320,9 por cada 100.000 habitantes y los pacientes de Covid-19 ocupan ya el 45% de todas las camas de cuidados intensivos en los hospitales, según datos comunicados hoy a Efe por las autoridades sanitarias regionales. Además, el 17% de todos los test realizados en la región parisina en el último día dieron resultado positivo.

Macron recalcó que en los hospitales se han aplazado operaciones quirúrgicas para asegurar que había camas de cuidados intensivos para los pacientes de coronavirus, pero ""ya no tenemos camas de reserva. Por eso debemos tomar medidas más estrictas"".

Además de la región de París, las otras áreas metropolitanas con toque de queda serán Marsella-Aix en Provence, Lyon, Lille, Grenoble, Montpellier, Toulouse, Rouen y Saint Etienne. La pandemia ha causado ya 33.000 muertes en Francia, según las últimas cifras oficiales disponibles. ",https://www.elespanol.com/mundo/20201014/francia-declara-emergencia-partir-sabado-impone-toque/528198585_0.html,
10,1,Covid-19,Ministerio de Salud,"Con 1.356 vacunas, Norte de Santander inició inmunización contra el covid-19","Cúcuta (Norte de Santander), 19 de febrero de 2021. – En el marco del inicio del Plan Nacional de Vacunación contra el Covid-19, la ciudad de Cúcuta aplicó hoy, 19 de febrero, la primera vacuna en la ESE Hospital Universitario Erasmo Meoz a la médica, Zulma Urbina.

Al respecto, Germán Escobar Morales, jefe de Gabinete del Ministerio de Salud y Protección Social, indicó durante la jornada de inmunización, que se espera vacunar inicialmente a 336 profesionales de la salud y continuar con este proceso con las demás instituciones no sólo de la ciudad de Cúcuta sino del resto del departamento.

""Es de gran importancia que esta actividad de vacunación inicie en una institución tan icónica como es el Hospital Erasmo Meoz. Recordemos que la próxima semana llegarán otras 50 mil dosis del laboratorio Pfizer que seguirán estando destinadas a los profesionales de la salud de primera línea"", dijo en la intervención.

A su turno, la trabajadora de la salud en la primera línea de atención al covid-19 del Hospital Erasmo Meoz, oriunda de Arboledas (Norte de Santander), madre de familia y especialista en cuidado intensivo, expresó sentirse afortunada luego de ser vacunada. ""Siento un compromiso mayor de seguir cuidándome. Invito también a los colegas médicos que van a ser priorizados y a la población mayor de 80 años próxima a vacunarse, a que sigan utilizando las medidas de bioseguridad como el tapabocas, el distanciamiento físico y el lavado de manos, que es la única manera de salir de esta pandemia"", indicó.

Al respecto añadió Carlos Arturo Martínez, secretario de Salud de Norte de Santander que ""al iniciarse el proceso de vacunación en el departamento con los profesionales de la salud en la primera línea de atención, y con la garantía de las primeras 1.356 dosis, se empieza a cubrir a la población. De la misma manera a partir del 28 de febrero se estaría iniciando la inmunización a adultos mayores de 80 años"".

El Gobierno Nacional y el Ministerio de Salud y Protección Social siguen con el compromiso de la puesta en marcha del Plan Nacional de Vacunación contra el covid-19 para la inmunización de 35 millones de colombianos. El compromiso ahora es acudir a las citas y mantener las medidas de autocuidado para que juntos podamos avanzar.",https://www.minsalud.gov.co/Paginas/Con-1356-vacunas-Norte-de-Santander-inicio-inmunizacion-contra-el-covid-19.aspx,
12,1,Covid-19,Minsalud, Colombia adquirió 40 millones de dosis de vacunas contra el covid-19,"Fernando Ruiz Gómez, ministro de Salud y Protección Social, presentó el Plan Nacional de Vacunación contra el covid-19 con el cual anunció que el país compró 40 millones de dosis de biológicos para 20 millones de colombianos que serán aplicadas gratuitamente en 2021, teniendo en cuenta que la vacuna requiere dos dosis por persona.

El Gobierno Nacional firmó el 16 de diciembre el contrato con AstraZeneca por 10 millones de dosis y el 17 de diciembre con Pfizer por la misma cantidad. Además, desde el 30 de octubre se suscribió el acuerdo multilateral con el mecanismo COVAX por 20 millones de dosis, para un total de 40 millones que llegarán a Colombia en el transcurso del próximo año.

""Todo el proceso de alistamiento lo estaremos realizando durante enero, la vacunación masiva la estaremos iniciando en febrero y si, como sucede en otros países, tenemos acceso a vacunas de prueba, también estaremos iniciando en enero procesos de vacunación de prueba"", aseguró.

El ministro fue enfático en afirmar que todas las decisiones de adquisición y del plan han sido tomadas con rigor técnico, siempre se ha dado información concreta con base en contratos y convenios ciertos, la estrategia se ha basado en la adquisición de un portafolio diversificado, ""se ha buscado siempre un balance entre costo-beneficio para no arriesgar los recursos públicos, todo con el fin de entregar vacunas seguras y eficaces a los ciudadanos"".

Asimismo, explicó los principios del plan de vacunación, que se basa en los pilares de beneficencia, solidaridad, equidad y justicia, transparencia, progresividad, primacía del interés general, eficiencia.



Plan de vacunación

El Plan Nacional de Vacunación tiene como objetivos en su primera fase reducir la mortalidad y la incidencia de casos graves por covid-19, así como proteger a los trabajadores de la salud; mientras que en su segunda fase está reducir el contagio para generar inmunidad de rebaño.

De acuerdo con la proyección del DANE, a 2021 Colombia tendrá 51.049.498 habitantes. Para poder generar inmunidad de rebaño, según evidencia científica -explicó Ruiz Gómez- es necesario vacunar al 70% de la población, lo que equivale a 35.734.649 millones de colombianos.

Actualmente hay registradas 1.500.000 personas como casos positivos de covid-19, quienes no se incluirán en la fase inicial del programa de vacunación. Es decir que el total de personas a vacunar para propiciar la inmunidad de rebaño es de 34.234.649, cifra que podrá cambiar de acuerdo con la evolución de la pandemia.

""En este momento, con las vacunas ya adquiridas, que representan 20 millones de personas, podemos decir que ya tenemos adquiridas 58,4% de las vacunas que nos alcanzan para la fase 1 y el inicio de la fase 2"", apuntó.

El jefe de la cartera de Salud dijo que ya el gobierno colombiano se encuentra en negociaciones para completar el número necesario para vacunar a las más de 34 millones de personas.

Aclaró que los estudios y pruebas realizadas con las vacunas ha sido en mayores de 16 años, por lo que los menores de esta edad no serán sujeto de inmunización en primera instancia hasta tanto exista evidencia científica que garantice la seguridad en población menor de 16 años.

En cuanto al grupo poblacional con comorbilidades, Ruiz Gómez indicó que ya se encuentran plenamente identificadas las personas a las cuales se les aplicará el biológico, que suman 5.334.153 pacientes con enfermedades hipertensivas, diabetes, insuficiencia renal, EPOC, asma, VIH, cáncer, tuberculosis, hepatitis C y obesidad.

Además, 7.644.171 personas de 60 años en adelante, y 1.217.971 trabajadores de la salud, incluido el personal de apoyo logístico, hacen parte del grupo priorizado para la primera fase de vacunación.



Acceso a vacunas

El funcionario reconoció ""la total disponibilidad de recursos por parte del Gobierno Nacional para tener acceso a la vacuna, el esfuerzo fiscal que se ha hecho"" y también que ""hoy hablamos de un grupo de vacunas que ya está en el mercado, pero también es necesario tener en cuenta que hay más de 200 desarrollos en curso y sabemos que para el segundo semestre de 2021 tendremos otro grupo de empresas productoras de vacunas que las llevarán al mercado con plataformas interesantes e innovadoras, las cuales también se pueden ofrecer dentro del portafolio a los colombianos"".

En cuanto a la programación de la vacunación, el ministro Ruiz Gómez indicó que el país tendrá cinco etapas.",https://www.minsalud.gov.co/Paginas/Colombia-adquirio-40-millones-de-dosis-de-vacunas-contra-el-covid-19.aspx,
14,1,Covid-19,El Universo,Es falso que la vacuna del coronavirus esterilice a las mujeres,"“El objetivo de la vacuna contra el covid-19 no es la inmunización, ténganlo bien por seguro”, es el mensaje que da el genetista argentino Luis Marcelo Martínez, quien asegura que la fertilidad femenina corre peligro, ya que las vacunas para prevenir el SARS-CoV-2 generarán una respuesta inmunológica contra la proteína sincitina-1 “crítica en el desarrollo temprano de la placenta”. De ese modo, según el galeno, las vacunas “inmunizarán a la población contra su propio embarazo”.

El médico, quien asegura que el nuevo coronavirus “es un constructo informático”, también afirma que la incidencia de las vacunas en la proteína sincitina-1 desencadenará casos de esclerosis múltiple y “otras secuelas neurológicas”. Asimismo, señala que estas consecuencias tendrán lugar “independientemente de la variante técnica de la vacuna”, sobre la que no ofrece explicación alguna ya que, dice, “no quiere perder más tiempo” en ello. Se infiere, sin embargo, que hace referencia a las vacunas diseñadas con ingeniería genética: las basadas en ARN mensajero (ARNm), como la mRNA-1273, de Moderna/NIAID, y la BNT162, de BioNTech/Fosun Pharma/Pfizer, y las producidas con vectores de adenovirus, como la ChAdOx1 de AstraZeneca/Universidad de Oxford, y la Sputnik V del instituto estatal Gamaleïa de Rusia.

La entrevista fue publicada en el canal digital argentino “Toda la Verdad Primero”, que suele difundir desinformación y teorías conspirativas. Marcelo Martínez está registrado en el sistema integrado de información sanitaria argentino como médico genetista y forma parte de la así llamada “Junta Argentina de Revisión Científica”, una organización que no figura en el Registro Nacional de Sociedades del país. Tampoco cuenta con sitio web, y solo tiene existencia en redes sociales. A través de esa Junta, Marcelo Martínez y otros firmantes publicaron en julio pasado un documento sin aprobación de la comunidad científica afirmando que las vacunas basadas en ingeniería genética ocasionarán infertilidad masculina, afirmación verificada por AFP Factual.

La AFP también verificó como falso un video de agosto pasado en el que Martínez afirmaba que las vacunas contra el coronavirus producirán “daños irreparables” en el genoma humano.

Vacunas basadas en ingeniería genética
Las vacunas para prevenir el coronavirus han sido objeto de mucha desinformación a lo largo de la pandemia. En particular, las vacunas basadas en ARN mensajero (ARNm), y las producidas con vectores de adenovirus. Ambos tipos utilizan ingeniería genética para generar una respuesta inmunitaria, a diferencia de las vacunas tradicionales, que emplean virus atenuados o inactivos, o toxinas inactivadas.

El objetivo de estas vacunas es dar instrucciones a nuestras células para que fabriquen la proteína “espiga” (S) del SARS-CoV-2. “Esa nueva proteína será reconocida como extraña por el sistema inmunológico, que ‘montará’ lo que se llama una respuesta inmune de memoria”, explicó a AFP Factual la doctora María Victoria Sánchez, investigadora del Laboratorio de Inmunología y Desarrollo de Vacunas de IMBECU-CCT-CONICET, Argentina. “Cuando hay un nuevo encuentro con el patógeno, esa respuesta inmune será capaz de reconocerlo y lo atacará más eficientemente”, concluyó. La sincitina-1 no es “idéntica” al SARS-CoV-2
En el video viral, el genetista Martínez afirma que la proteína “espiga” (S) del nuevo coronavirus es “idéntica a la proteína sincitina, clave para que el embarazo pueda llevarse a cabo”. Y afirma que la intención de la vacuna no es erradicar el nuevo coronavirus, sino esterilizar a las mujeres.

“Si se genera una inmunidad contra la supuesta proteína S viral, en realidad estaríamos montando una respuesta contra la sincitina [...], con la consecuente infertilidad femenina”, dice.

La sincitina-1, en efecto, es una proteína que contribuye a la formación de la placenta, explicó a AFP Factual Kenneth Witwer, profesor de patología y neurología molecular y comparativa en la Escuela de Medicina de la Universidad Johns Hopkins, Estados Unidos.",https://www.eluniverso.com/larevista/2020/12/24/nota/8740546/es-falso-que-vacuna-coronavirus-esterilice-mujeres/,
15,1,Covid-19,El Financiero,Puebla extiende confinamiento hasta 25 de enero para evitar aumento de casos de COVID-19 ,"El Gobierno de Puebla anunció que el confinamiento para evitar que colapse el sistema de salud por la pandemia de coronavirus, se extiende hasta el día 25 de enero.

En rueda de prensa, el gobernador Luis Miguel Barbosa indicó que se busca reducir la movilidad para frenar contagios, pues ""volvemos a estar en la ruta de un colapso en el sistema de salud"".

Indicó que de esta forma se ratifica el llamado de alerta máxima en Puebla hasta el día 25, que implica prohibir la apertura de negocios de actividades no esenciales y siguen vigentes las medidas de restricción. En cuanto a la industria considerada como esencial el aforo permitido es de 30 por ciento.

Asimismo se advirtió mayor presencia policíaca en las calles para el cumplimiento de las normas.  Jesús Ramírez, subsecretario de transparencia, indicó que todo el estado se encuentra en amarillo con tendencia ascendente, principalmente en la zona de Tehuacán. En la capital y zona metropolitana es rojo.

El secretario de salud, José Antonio Martínez, indicó que este es el segundo día más grave tras el nuevo confinamiento por COVID-19 con 310 contagios y mil 7 hospitalizados, siendo justamente ese punto el que preocupa pues en el pico de la pandemia, que fue el 20 de julio, se tuvieron mil 18 hospitalizados.

De mantenerse la tendencia, al día 14 de enero estaríamos ""a tope"" y el día 18 llegarían a mil 317 que nos pondría fuera de la capacidad instalada en materia de salud y se tendría que extender a zonas que actualmente están destinadas a atención de otras enfermedades, dijo. ",https://www.elfinanciero.com.mx/puebla/puebla-extiende-confinamiento-hasta-25-de-enero-para-evitar-aumento-de-casos-de-covid-19,
18,1,Covid-19,am de Queretaro,QUERÉTARODescartan ‘código azul’ en Querétaro, no se excluirá a pacientes con COVID-19,"Integrantes del sector salud de Querétaro negaron la aplicación del esquema denominado ‘código azul’ para dar atención a los pacientes que tienen mayores posibilidades de sobrevivir al COVID-19.

“En medicina de desastres es definir qué personas tienen más posibilidad de tener una vida con calidad a falta de recursos. Supongamos que en un hospital ya no haya ventiladores; ante este grado, en el que las capacidades se vean rebasadas, se analiza la sobrevida para atender a quienes pudieran tener mayor calidad de vida”, explicó Carlos Casillas, coordinador estatal del Centro Regulador de Urgencias Médicas (CRUM). Hasta el cierre de esta edición, información de la Administración estatal arrojaba que el pasado 12 de enero la hospitalización en la entidad había alcanzado 59.3 por ciento. Asimismo, el Gobierno advirtió que a causa de la tendencia en casos activos, “es muy probable que esta semana rompamos por primera vez la frontera de 60 por ciento”.

El término del ‘código azul’, reiteró Carlos Casillas, se ha empleado más en medicina de guerra o desastres de grandes magnitudes.

“Aún no llegamos a eso y aún desconozco si se está haciendo en Querétaro. Al menos no hay ninguna indicación de manera oficial”, señaló el coordinador del CRUM. ‘LOS HOSPITALES CUENTAN CON ESTRATEGIAS’
El doctor Hugo Daniel Cerrillo, director Hospital General Querétaro, descartó que se aplique o se vaya a implementar este esquema en los hospitales de la entidad.

“No se ha establecido ni se ha considerado. Todos los hospitales cuentan con estrategias para optimizar atenciones de acuerdo a la gravedad del paciente; trabajamos mediante un triage internacional para optimizar recursos y tiempos de atención. Nunca se ha negado la atención, se ha dilatado, pero todo paciente merece un tiempo de atención y evaluación”, explicó el doctor, quien dijo que antes de pensar en un ‘escenario de guerra’, se habilitarían más camas y espacios. ‘SE OCUPAN LAS CAMAS EN EL ESTADO’
El epidemiólogo queretano Miguel Hernández comentó que se están llenando los hospitales en Querétaro.

De acuerdo con el sistema de la Red de Infección Respiratoria Aguda Grave (IRAG) y hasta el pasado 12 de enero, el centro Ismael Vázquez Ortiz, del ISSSTE; el Hospital General Regional 2 en El Marqués, del IMSS; y el Hospital General de Zona 3 en San Jual del Río, del IMSS, son los lugares que reportaban 100 por ciento de ocupación de camas en hospitalización general.

“La verdad es que están prácticamente llenos. Muchos pacientes salen, pero no se nivelan los egresos con los ingresos. Mientras egresas 10 personas, llegan 20 o 25; la tasa de recambio es brutal, lo que no baja el nivel”, compartió.

Sobre el ‘código azul’, el doctor aclaró que es un triage de guerra y que surgió una distorsión sobre el tema en la Ciudad de Mexico, pero negó que se aplique en los hospitales.

 

FALTA DE PERSONAL
En el peor escenario quizá algunos nosocomios puedan adoptar el ‘código azul’ al ya no tener margen de maniobra, señaló el doctor Luis Vázquez, quien trabaja en un hospital queretano, pero antes de llegar a la elección de quién vive o muere, tal vez primero se presente la falta de recursos humanos, precisó, ya que, dijo, el personal médico está agotado.

“El tema, si sigue así, pudiera llevarnos a que no alcance el personal médico, más que tener que elegir quién vive o no, pasaría más por el tema de quién atiende a los enfermos”, declaró.

 

 

¿CUÁNDO SE HA USADO EL ‘CÓDIGO AZUL’?
En 1962 en Seattle se tuvo que decidir quién era candidato a los primeros tratamientos de hemodiálisis. En un Noticia de la revista Life titulado: “They decide who lives and who dies” (Ellos deciden quién vive y quién muere) se relataba la historia de uno de los pacientes que pudo sobrevivir gracias al tratamiento… y a la decisión del comité formado por siete ciudadanos que decidían quién vivía y quién no era candidato al tratamiento.

El 6 de marzo de 2020 la Sociedad Italiana de Anestesia, Analgesia, Reanimación y Terapia Intensiva (SIAARTI) elaboró una guía de recomendaciones éticas para la admisión a tratamientos intensivos y para la suspensión de los mismos, tomando en consideración las condiciones excepcionales de desequilibrio entre las necesidades (la cantidad de contagiados y sus requerimientos) y los recursos disponibles (número de camas UCI y de respiradores artificiales).

La utilización del triage (clasificación), derivó en un sistema estructurado que ubicó a los pacientes según el grado de urgencia que presentan, priorizó la asistencia de los mismos, garantizando que los valorados como más urgentes fueran los atendidos de forma prioritaria.",https://amqueretaro.com/queretaro/2021/01/14/descartan-codigo-azul-en-queretaro-no-se-excluira-a-pacientes-con-covid-19/
22,0,Covid-19,AFPFactual,Internacional – Nanorobot encontrado en la prueba de PCR,"De nuevo se hizo realidad una teoría de la conspiración. En el teatro que se hacía en torno a las pruebas masivas, y sobre todo con qué vehemencia (incluso en las escuelas, sin el consentimiento de los padres, etc.)
Era muy claro esperar que no se tratara solo de los números positivos de prueba requeridos.

Hasta donde se sabe, estas piezas tienen un tamaño de 2,5 nano. (0,006 mm). Nuestros glóbulos rojos tienen un tamaño de 8000 nano. Esto significa que esta “cosa diminuta” es lo suficientemente pequeña como para atravesar fácilmente la barrera hematoencefálica.

Se agradece por la información a la Dra. Patricia Callisperis.",https://textossalta.com/internacionales/internacional-nanorobot-encontrado-en-la-prueba-de-pcr/,
